epoch,time,lr,train_loss,train_acc,val_loss,val_acc,train_time,val_time
1,676.3205616474152,0.001,0.1881909637015365,0.9076891447368421,0.012493633543910749,0.9964575249445676,311.4351496696472,364.292911529541
2,1392.881147146225,0.001,0.0600607879407203,0.9798198499177632,0.01271909747469939,0.9955423133776792,320.3315224647522,382.05988812446594
3,2123.426146507263,0.001,0.014807763658250463,0.9951557360197368,0.002970570382615741,0.9992378048780488,323.2433867454529,396.36771512031555
4,2865.234081506729,0.001,0.015678480857308098,0.9946096319901315,0.0011615098977448507,0.9997459349593496,317.1780526638031,412.21956062316895
5,3609.8584225177765,0.001,0.010679569029937403,0.9966013055098685,0.002644350771304943,0.9992493532889875,319.9514217376709,412.22590827941895
6,4360.269148349762,0.001,0.008418859915850948,0.9971602590460527,0.0017718986894271985,0.9995467248706578,312.82076692581177,426.38395595550537
7,5105.436850070953,0.001,0.005510205396506245,0.9982010690789473,0.0018592236977726933,0.9994629988913526,323.98936319351196,410.54455518722534
8,5861.542772531509,0.001,0.007151148885735157,0.997545744243421,0.0021997658438570886,0.9995929185144125,328.34953212738037,417.05667304992676
9,6645.149715900421,0.001,0.007039534730553947,0.9976292660361842,0.0009003046035360432,0.9996419992609017,326.7138342857361,445.7514491081238
10,7435.144848585129,0.001,0.0050394777722524665,0.9982331928453947,0.002016085236306148,0.9995524990761271,339.3455467224121,439.278279542923
11,8215.934995651245,0.001,0.002508798598054085,0.999158357319079,0.0008789289326892148,0.9996535476718403,335.38640666007996,434.2166440486908
12,9009.46813082695,0.001,0.005098841000840419,0.9982074938322368,0.009916604934881475,0.9968674935328898,332.11816143989563,449.74120593070984
13,9810.552190303802,0.001,0.004376790352673944,0.9985865542763158,0.0015914220735755527,0.999569821692535,337.78530263900757,452.0169851779938
14,10580.69236087799,0.001,0.0026689637911996313,0.999158357319079,0.0006962928440583894,0.9995727087952697,330.7318079471588,427.9054536819458
15,11363.65874838829,0.001,0.0033237732872139214,0.9988435444078947,0.000846577755967262,0.9997401607538803,328.6623570919037,442.24740862846375
16,12153.074059724808,0.001,0.004142141057824517,0.9985929790296053,0.0006742115962440498,0.9997863543976349,340.07198214530945,437.7334132194519
17,12928.234479665756,0.001,0.0025604814818489413,0.9991198087993421,0.000597397808396824,0.9997834672949002,333.66418743133545,428.1408131122589
18,13636.51937675476,0.001,0.0019042591121755674,0.9993446751644737,0.0021223612446162844,0.9992782243163341,323.43804454803467,372.79226541519165
19,14319.980223178864,0.001,0.002255385435191799,0.9991519325657895,0.0004485792714912076,0.9998671932742055,313.2491238117218,356.62322974205017
20,14999.596503019333,0.001,0.004512236375446335,0.9985030324835527,0.0024107332506332654,0.9994918699186992,313.1091113090515,355.1576166152954
21,15675.3705368042,0.001,0.007764724522409575,0.9966848273026315,0.0010840251279204537,0.9997863543976349,311.2833182811737,352.85973381996155
22,16356.739174842834,0.001,0.006410317100535155,0.9974043996710527,0.0003911910479258015,0.9999018385070214,313.84501791000366,356.0774779319763
23,17035.073302268982,0.001,0.0053800641054640936,0.9978091591282895,0.0013177891623280624,0.999708402623799,311.7618169784546,355.52505016326904
24,17707.15686893463,0.001,0.005384003386780397,0.9976613898026315,0.000439856747079053,0.9998412093495935,310.39825224876404,350.5623857975006
25,18394.16015267372,0.001,0.002676323001875647,0.9988756681743421,0.00011510089886068199,0.9999480321507761,313.5041928291321,362.7099437713623
26,19076.263068437576,0.001,0.003434144894629386,0.9984773334703947,0.00011814592039876532,0.9999451450480414,312.0354514122009,359.18940472602844
27,19762.26398229599,0.001,0.0027925005336986333,0.998766447368421,0.00012692251266006714,0.9999393708425721,311.5037317276001,363.29508090019226
28,20436.10422515869,0.001,0.0038996542884641313,0.9982267680921053,0.00019638741954140028,0.9999018385070214,311.02233362197876,350.95369267463684
29,21118.289679288864,0.001,0.002204478105400933,0.9990041632401315,0.00022641092769198846,0.9999509192535108,312.12755966186523,359.4350845813751
30,21868.611963033676,0.001,0.0034213713649788326,0.9986186780427632,0.0001935662207820486,0.9999133869179601,326.05687642097473,413.418625831604
31,22620.922758817673,0.001,0.0027097291561942543,0.9987150493421053,0.00042523309846632945,0.9998816287878788,319.7541048526764,421.4412305355072
